window,num_nodes,num_edges,density,avg_degree,avg_weighted_degree,norm_avg_weighted_degree,triadic_closure,assortativity,connected_components,num_performances,median_cast_size
1920-1921,578,4777,0.0286,16.529,23.952,0.0415,0.7269,0.3637,8,126,9.0
1921-1922,534,3900,0.0274,14.607,19.764,0.0371,0.7365,0.3283,16,117,7.0
1922-1923,447,3175,0.0319,14.206,18.174,0.0407,0.7698,0.4245,17,96,6.0
1923-1924,477,3082,0.0271,12.922,15.916,0.0334,0.7398,0.3702,20,119,6.0
1924-1925,650,5460,0.0259,16.8,22.394,0.0345,0.7076,0.2504,20,139,8.0
1925-1926,875,9109,0.0238,20.821,26.688,0.0305,0.6628,0.2826,17,138,12.0
1926-1927,723,6843,0.0262,18.929,23.682,0.0328,0.7216,0.3207,15,138,8.0
1927-1928,675,6405,0.0282,18.978,25.461,0.0378,0.7027,0.2721,15,147,9.0
1928-1929,799,9020,0.0283,22.578,31.79,0.0398,0.6349,0.163,13,141,11.0
1929-1930,782,8991,0.0294,22.995,30.685,0.0393,0.5508,0.1691,10,157,10.0
1930-1931,767,8670,0.0295,22.608,46.626,0.0609,0.5251,0.1862,8,206,10.0
1931-1932,884,10036,0.0257,22.706,48.505,0.0549,0.6683,0.4507,14,221,10.0
1932-1933,929,10595,0.0246,22.809,36.222,0.039,0.7143,0.5443,17,201,9.0
1933-1934,786,7855,0.0255,19.987,30.832,0.0393,0.6657,0.3349,19,166,9.0
1934-1935,746,6200,0.0223,16.622,22.836,0.0307,0.6458,0.3579,24,153,7.0
1935-1936,546,4307,0.0289,15.777,20.733,0.038,0.7011,0.3731,15,116,6.0
1936-1937,307,2402,0.0511,15.648,19.231,0.0628,0.769,0.5064,21,67,5.0
1937-1938,357,3139,0.0494,17.585,21.647,0.0608,0.7339,0.5571,22,75,6.0
1938-1939,502,3865,0.0307,15.398,18.371,0.0367,0.6629,0.4514,27,140,5.0
1939-1940,525,3337,0.0243,12.712,14.503,0.0277,0.5979,0.2169,24,151,5.0
1940-1941,331,2231,0.0408,13.48,15.843,0.048,0.5729,0.2558,11,86,7.0
1941-1942,252,1950,0.0617,15.476,17.857,0.0711,0.6082,0.2312,5,60,7.0
1942-1943,275,1948,0.0517,14.167,15.927,0.0581,0.621,0.2042,6,63,7.0
1943-1944,273,1994,0.0537,14.608,17.436,0.0641,0.5584,0.1856,3,82,6.0
1944-1945,362,2765,0.0423,15.276,17.387,0.0482,0.5947,0.3103,7,91,6.0
1945-1946,451,3115,0.0307,13.814,15.086,0.0335,0.7149,0.4301,12,97,6.0
1946-1947,476,3145,0.0278,13.214,14.613,0.0308,0.7224,0.2345,5,100,6.0
1947-1948,525,4994,0.0363,19.025,22.617,0.0432,0.6545,0.2698,5,98,8.0
1948-1949,586,6283,0.0367,21.444,27.137,0.0464,0.7019,0.26,10,93,9.0
1949-1950,491,3971,0.033,16.175,20.253,0.0413,0.7909,0.5466,21,87,6.0
1950-1951,387,2097,0.0281,10.837,11.354,0.0294,0.8815,0.6984,19,79,5.0
1951-1952,353,1991,0.032,11.28,11.819,0.0336,0.8139,0.4726,19,58,6.5
1952-1953,310,1899,0.0396,12.252,14.265,0.0462,0.7814,0.4171,17,54,8.0
1953-1954,294,1595,0.037,10.85,14.68,0.0501,0.8197,0.5888,17,59,6.0
1954-1955,351,2550,0.0415,14.53,22.336,0.0638,0.8538,0.5978,14,69,7.0
1955-1956,416,3287,0.0381,15.803,22.428,0.054,0.901,0.7439,13,74,7.0
1956-1957,333,2352,0.0425,14.126,15.201,0.0458,0.8749,0.7296,12,65,6.0
1957-1958,301,1749,0.0387,11.621,13.05,0.0435,0.8003,0.4138,19,64,5.0
1958-1959,361,2506,0.0386,13.884,16.427,0.0456,0.8479,0.6156,16,66,6.0
1959-1960,398,2991,0.0379,15.03,17.583,0.0443,0.8945,0.7285,25,63,7.0
1960-1961,527,4725,0.0341,17.932,23.108,0.0439,0.831,0.5322,23,83,7.0
1961-1962,649,6498,0.0309,20.025,23.846,0.0368,0.8738,0.6386,22,98,6.5
1962-1963,622,6615,0.0343,21.27,22.122,0.0356,0.8387,0.5301,21,99,5.0
1963-1964,589,5530,0.0319,18.778,19.742,0.0336,0.7514,0.3648,23,105,5.0
1964-1965,569,5825,0.036,20.475,21.241,0.0374,0.8236,0.5502,16,93,5.0
1965-1966,524,5616,0.041,21.435,22.71,0.0434,0.8559,0.5488,16,84,6.0
1966-1967,489,4665,0.0391,19.08,20.462,0.0419,0.8222,0.5107,21,90,5.0
1967-1968,507,5275,0.0411,20.809,24.15,0.0477,0.7907,0.4714,21,89,5.0
1968-1969,585,6076,0.0356,20.773,22.909,0.0392,0.8303,0.6076,27,102,5.0
1969-1970,536,4534,0.0316,16.918,18.004,0.0337,0.886,0.733,21,97,5.0
1970-1971,457,3396,0.0326,14.862,15.54,0.0341,0.7451,0.3065,13,90,5.5
1971-1972,467,3273,0.0301,14.017,14.719,0.0316,0.7549,0.3639,21,96,6.0
1972-1973,537,3297,0.0229,12.279,12.756,0.0238,0.8002,0.6267,42,116,5.0
1973-1974,566,3642,0.0228,12.869,13.322,0.0236,0.815,0.6513,38,126,4.5
1974-1975,515,3743,0.0283,14.536,15.068,0.0293,0.8607,0.7816,24,113,5.0
1975-1976,667,5424,0.0244,16.264,16.87,0.0253,0.8498,0.6814,24,136,5.0
1976-1977,844,6916,0.0194,16.389,17.384,0.0206,0.7119,0.3364,37,171,6.0
1977-1978,970,7223,0.0154,14.893,16.645,0.0172,0.6606,0.2816,56,214,6.0
1978-1979,1275,12027,0.0148,18.866,25.782,0.0202,0.7625,0.5097,50,319,6.0
1979-1980,1387,13002,0.0135,18.748,26.133,0.0189,0.7335,0.4741,78,408,5.0
1980-1981,1289,9962,0.012,15.457,19.863,0.0154,0.6482,0.454,89,374,5.0
1981-1982,1094,8713,0.0146,15.929,19.369,0.0177,0.6761,0.518,63,280,5.0
1982-1983,831,7050,0.0204,16.968,19.326,0.0233,0.7596,0.5044,50,206,5.0
1983-1984,838,7140,0.0204,17.041,20.155,0.0241,0.7293,0.4128,47,186,5.0
1984-1985,814,6458,0.0195,15.867,19.14,0.0235,0.7336,0.4932,36,194,5.0
1985-1986,855,6202,0.017,14.508,15.546,0.0182,0.8166,0.6284,38,194,5.0
1986-1987,852,7122,0.0196,16.718,17.176,0.0202,0.8194,0.7021,49,187,5.0
1987-1988,891,6876,0.0173,15.434,16.218,0.0182,0.8483,0.7755,49,187,5.0
1988-1989,899,6645,0.0165,14.783,15.368,0.0171,0.7796,0.5107,60,183,5.0
1989-1990,892,6644,0.0167,14.897,15.247,0.0171,0.8106,0.5606,61,195,4.0
1990-1991,875,4808,0.0126,10.99,11.506,0.0132,0.8,0.6917,67,236,4.0
1991-1992,924,4442,0.0104,9.615,11.1,0.012,0.7914,0.6819,76,269,4.0
1992-1993,987,5036,0.0103,10.205,12.093,0.0123,0.7734,0.5945,104,281,4.0
1993-1994,1114,6547,0.0106,11.754,12.555,0.0113,0.7965,0.5722,105,289,4.0
1994-1995,1119,9301,0.0149,16.624,17.319,0.0155,0.7535,0.4813,82,279,4.0
1995-1996,1100,9579,0.0158,17.416,17.98,0.0164,0.7635,0.5135,101,263,4.0
1996-1997,968,7022,0.015,14.508,14.94,0.0154,0.8293,0.6539,94,248,4.0
1997-1998,829,6187,0.018,14.926,16.046,0.0194,0.781,0.5281,65,216,4.0
1998-1999,766,5089,0.0174,13.287,13.945,0.0182,0.8324,0.6678,68,192,3.0
1999-2000,692,3900,0.0163,11.272,11.962,0.0173,0.744,0.3589,106,203,2.0
2000-2001,870,4317,0.0114,9.924,10.878,0.0125,0.6886,0.4087,134,302,2.0
2001-2002,1059,5475,0.0098,10.34,11.347,0.0107,0.6505,0.4346,152,361,3.0
2002-2003,1121,5790,0.0092,10.33,11.229,0.01,0.6469,0.446,140,354,3.0
2003-2004,1074,5195,0.009,9.674,10.756,0.01,0.5858,0.4259,126,366,3.0
2004-2005,1061,5417,0.0096,10.211,11.274,0.0106,0.7019,0.5095,112,331,3.0
2005-2006,1114,6307,0.0102,11.323,13.576,0.0122,0.8413,0.7513,112,325,3.0
2006-2007,1115,6247,0.0101,11.205,13.439,0.0121,0.8406,0.7641,126,350,3.0
2007-2008,1004,4342,0.0086,8.649,9.331,0.0093,0.8508,0.8769,140,347,3.0
2008-2009,1049,5324,0.0097,10.151,10.501,0.01,0.8589,0.8547,133,322,3.0
2009-2010,1074,6471,0.0112,12.05,12.983,0.0121,0.8043,0.7386,118,290,4.0
2010-2011,1107,7079,0.0116,12.79,13.015,0.0118,0.8524,0.8084,113,271,4.0
2011-2012,1069,7793,0.0137,14.58,14.975,0.014,0.8162,0.6624,94,253,4.0
2012-2013,1122,7080,0.0113,12.62,13.471,0.012,0.795,0.5944,89,274,4.0
2013-2014,1132,6416,0.01,11.336,11.908,0.0105,0.8382,0.7385,99,286,4.0
2014-2015,1145,7359,0.0112,12.854,13.043,0.0114,0.8396,0.69,105,279,4.0
2015-2016,1318,8807,0.0101,13.364,13.671,0.0104,0.7486,0.569,120,320,4.0
2016-2017,1306,8511,0.01,13.034,14.133,0.0108,0.7352,0.5844,123,330,4.0
2017-2018,1201,7967,0.0111,13.267,13.893,0.0116,0.7332,0.5219,113,285,4.0
2018-2019,1195,8446,0.0118,14.136,14.464,0.0121,0.7285,0.5908,94,268,4.0
2019-2020,939,6611,0.015,14.081,14.224,0.0152,0.7805,0.6081,76,194,4.0
